Institution	City	State	Zipcode	RU_VH	ARL	ACAD_RES	Public_100K	Public_CA	latitude	longitude
Public Library of Charlotte & Mecklenburg	Charlotte	North Carolina	28202	N	N	N	Y	N	35.228544	-80.844633
Durham County Library	Durham	North Carolina	27701	N	N	N	Y	N	35.995092	-78.896627
Cumberland County Public Library & Info. Ctr.	Fayetteville	North Carolina	28301	N	N	N	Y	N	35.066292	-78.866577
Greensboro Public Library	Greensboro	North Carolina	27402	N	N	N	Y	N	36.07390814	-79.78674889
Wake County Public Library	Raleigh	North Carolina	27680	N	N	N	Y	N	35.762794	-78.583443
Forsyth County Public Library	Winston-Salem	North Carolina	27101	N	N	N	Y	N	36.098964	-80.251746
Akron-Summit County Public Library	Akron	Ohio	44326	N	N	N	Y	N	41.08368516	-81.51737653
Cincinnati and Hamilton County Public Library	Cincinnati	Ohio	45202	N	N	N	Y	N	39.104712	-84.513791
Cleveland Public Library	Cleveland	Ohio	44114	N	N	N	Y	N	41.501496	-81.690866
Columbus Metropolitan Library	Columbus	Ohio	43215	N	N	N	Y	N	39.964264	-83.003265
Dayton Metro Library	Dayton	Ohio	45402	N	N	N	Y	N	39.757301	-84.186218
Toledo-Lucas County Public Library	Toledo	Ohio	43604	N	N	N	Y	N	41.655342	-83.545181
Pioneer Library System	Norman	Oklahoma	73069	N	N	N	Y	N	35.2314	-97.506897
Metropolitan Library System	Oklahoma City	Oklahoma	73102	N	N	N	Y	N	35.471783	-97.518036
Tulsa City-County Library	Tulsa	Oklahoma	74103	N	N	N	Y	N	36.156265	-95.993744
Eugene Public Library	Eugene	Oregon	97401	N	N	N	Y	N	44.081257	-123.070091
Multnomah County Library System	Portland	Oregon	97212	N	N	N	Y	N	45.541112	-122.663224
Salem Public Library	Salem	Oregon	97301	N	N	N	Y	N	44.935353	-123.041371
Allentown Public Library	Allentown	Pennsylvania	18102	N	N	N	Y	N	40.599197	-75.482139
Erie County Public Library	Erie	Pennsylvania	16507	N	N	N	Y	N	42.13608138	-80.08688606
Free Library of Philadelphia	Philadelphia	Pennsylvania	19130	N	N	N	Y	N	39.970236	-75.146911
Carnegie Library of Pittsburgh	Pittsburgh	Pennsylvania	15213	N	N	N	Y	N	40.442856	-79.955849
Rhode Island Library Network	Providence	Rhode Island	02903	N	N	N	Y	N	41.817905	-71.408107
Charleston County Library	Charleston	South Carolina	29401	N	N	N	Y	N	32.788339	-79.930888
Richland County Public Library	Columbia	South Carolina	29201	N	N	N	Y	N	34.003811	-81.036874
Siouxland Libraries	Sioux Falls	South Dakota	57117	N	N	N	Y	N	43.54535	-96.731284
Chattanooga-Hamilton County Public Library	Chattanooga	Tennessee	37402	N	N	N	Y	N	35.04686737	-85.31469727
Clarksville-Montgomery County Public Library	Clarksville	Tennessee	37040	N	N	N	Y	N	36.52072906	-87.34055328
