Institution	City	State	Zipcode	RU_VH	ARL	ACAD_RES	Public_100K	Public_CA	latitude	longitude
University of South Florida-Tampa	Tampa	Florida	33620	Y	N	Y	N	N	28.060459	-82.411484
University of Southern California	Los Angeles	California	90089	Y	Y	Y	N	N	34.020128	-118.283754
"University of Tennessee, Knoxville"	Knoxville	Tennessee	37996	Y	Y	Y	N	N	35.960495	-83.920914
University of Texas at Austin	Austin	Texas	78712	Y	Y	Y	N	N	30.2847	-97.741379
University of Toronto	Toronto	Ontario		N	Y	Y	N	N	43.66417	-79.398576
University of Utah	Salt Lake City	Utah	84112	Y	Y	Y	N	N	40.761992	-111.847006
University of Virginia-Main Campus	Charlottesville	Virginia	22904	Y	Y	Y	N	N	38.035552	-78.503451
University of Washington-Seattle Campus	Seattle	Washington	98195	Y	Y	Y	N	N	47.653679	-122.29911
University of Waterloo	Waterloo	Ontario		N	Y	Y	N	N	43.46870358	-80.5391933
University of Western Ontario	London	Ontario		N	Y	Y	N	N	42.996234	-81.254801
University of Wisconsin-Madison	Madison	Wisconsin	53706	Y	Y	Y	N	N	43.07	-89.4
Beaumont Public Library System	Beaumont	Texas	77701	N	N	N	Y	N	30.08615	-94.101584
Brownsville Public Library	Brownsville	Texas	78520	N	N	N	Y	N	25.94051	-97.509521
Carrollton Public Library	Carrollton	Texas	75006	N	N	N	Y	N	33.028362	-96.876427
Corpus Christi Public Library	Corpus Christi	Texas	78401	N	N	N	Y	N	27.792755	-97.399137
Dallas Public Library	Dallas	Texas	75201	N	N	N	Y	N	32.786999	-96.798347
Denton Public Library	Denton	Texas	76201	N	N	N	Y	N	33.2202	-97.1465
El Paso Public Library	El Paso	Texas	79901	N	N	N	Y	N	31.760482	-106.490058
River Oaks Public Library	Fort Worth	Texas	76114	N	N	N	Y	N	32.77875	-97.393768
Nicholson Memorial Library	Garland	Texas	75040	N	N	N	Y	N	32.91454	-96.638109
Grand Prairie Public Library System	Grand Prairie	Texas	75051	N	N	N	Y	N	32.73788519	-97.01755263
Houston Public Library	Houston	Texas	77002	N	N	N	Y	N	29.759489	-95.369381
Irving Public Library	Irving	Texas	75060	N	N	N	Y	N	32.813744	-96.954408
Kileen Public Library	Killeen	Texas	76541	N	N	N	Y	N	31.1238736	-97.7278369
Laredo Public Library	Laredo	Texas	78041	N	N	N	Y	N	27.548878	-99.491165
Lubbock Public Library	Lubbock	Texas	79401	N	N	N	Y	N	33.587952	-101.848994
McAllen Public Library	McAllen	Texas	78504	N	N	N	Y	N	26.24078237	-98.23944703
Mesquite Public Library System	Mesquite	Texas	75149	N	N	N	Y	N	32.7748959	-96.60175083
Pasadena Public Library	Pasadena	Texas	77506	N	N	N	Y	N	29.69282895	-95.19721314
Plano Public Library System	Plano	Texas	75075	N	N	N	Y	N	33.015751	-96.737473
San Antonio Public Library	San Antonio	Texas	78205	N	N	N	Y	N	29.425426	-98.489349
Waco-McLennan County Library	Waco	Texas	76710	N	N	N	Y	N	31.546626	-97.143585
Salt Lake City Public Library	Salt Lake City	Utah	84111	N	N	N	Y	N	40.753979	-111.881721
Alexandria Library	Alexandria	Virginia	22304	N	N	N	Y	N	38.812397	-77.117651
Arlington Public Library	Arlington CDP	Virginia	22201	N	N	N	Y	N	38.8904878	-77.0852954
Chesapeake Public Library System	Chesapeake	Virginia	23322	N	N	N	Y	N	36.714405	-76.246686
Hampton Public Library	Hampton	Virginia	23669	N	N	N	Y	N	37.020734	-76.351521
"Newport News Public Library Syste,"	Newport News	Virginia	23606	N	N	N	Y	N	37.086483	-76.474122
Norfolk Public Library	Norfolk	Virginia	23502	N	N	N	Y	N	36.86108	-76.230082
Portsmouth Public Library	Portsmouth	Virginia	23703	N	N	N	Y	N	36.85243988	-76.37846375
Richmond Public Library	Richmond	Virginia	23219	N	N	N	Y	N	37.5430244	-77.442323
Fort Vancouver Regional Library System	Vancouver	Washington	98663	N	N	N	Y	N	45.629978	-122.661169
Brown County Library	Green Bay	Wisconsin	54301	N	N	N	Y	N	44.514763	-88.01015
Madison Public Library	Madison	Wisconsin	53703	N	N	N	Y	N	43.073932	-89.387354
Milwaukee Public Library	Milwaukee	Wisconsin	53233	N	N	N	Y	N	43.039524	-87.922371
British Columbia QPT Public Library	Vancouver	British Columbia		N	N	N	Y	Y	49.280159	-123.1147537
Burnaby Public Library	Burnaby	British Columbia		N	N	N	Y	Y	49.228621	-123.006322
Coquitlam Public Library	Coquitlam	British Columbia		N	N	N	Y	Y	49.2527084	-122.846344
Cariboo Regional District Library	Williams Lake	British Columbia		N	N	N	N	Y	52.1313095	-122.1421585
Chetwynd Public Library	Chetwynd	British Columbia		N	N	N	N	Y	55.6947403	-121.6131516
Fort Nelson Public Library	Fort Nelson	British Columbia		N	N	N	N	Y	58.80444717	-122.6972351
Fort Saint John Public Library	Fort Saint John	British Columbia		N	N	N	N	Y	56.2463264	-120.8479691
Grand Forks and District Public Library	Grand Forks	British Columbia		N	N	N	N	Y		
Halifax Regional Library	Dartmouth	Nova Scotia		N	N	N	N	Y	44.6682816	-63.5222015
Hudson's Hope Public Library	Hudson's Hope	British Columbia		N	N	N	N	Y		
Lillooet Public Library	Lillooet	British Columbia		N	N	N	N	Y	50.6864357	-121.9360046
New Westminster Public Library	New Westminster	British Columbia		N	N	N	N	Y	49.211647	-122.922914
Smithers Public Library - North Coast Library Federation	Smithers	British Columbia		N	N	N	N	Y		
North Vancouver City Library	North Vancouver	British Columbia		N	N	N	Y	Y	49.3209343	-123.074646
North Vancouver District Public Library	North Vancouver	British Columbia		N	N	N	Y	Y	49.3366432	-123.0387421
Okanagan Regional Library	Kelowna	British Columbia		N	N	N	Y	Y	49.8611259	-119.4682922
Ottawa Public Library	Ottawa	Ontario		N	N	N	Y	Y	45.43	-75.706001
Pickering Public Library	Pickering	Ontario		N	N	N	N	Y	43.8387413	-79.0827332
Pouce Coupe Public Library	Pouce Coupe	British Columbia		N	N	N	N	Y	55.7187233	-120.1374435
Power River Public Library	Powell River	British Columbia		N	N	N	N	Y	49.8355293	-124.5242386
Richmond Public Library	Richmond	British Columbia		N	N	N	Y	Y	49.1629333	-123.1428146
Salt Spring Island Public Library	Salt Spring Island	British Columbia		N	N	N	N	Y	48.8525162	-123.5017014
Sechelt Public Library	Sechelt	British Columbia		N	N	N	N	Y	49.4728813	-123.7589417
Squamish Public Library	Squamish	British Columbia	V8B 0A7	N	N	N	N	Y	49.6974716	-123.1560974
Strait Area Campus Library	Port Hawkesbury	Nova Scotia		N	N	N	N	Y	45.619251	-61.358949
Surrey Libraries Administration	Surrey	British Columbia	V3T 4B8	N	N	N	Y	Y	49.191002	-122.810997
Thompson Nicola Regional District Lib.  Syst.	Kamloops	British Columbia		N	N	N	N	Y	50.6756401	-120.3302536
Toronto Public Library	Toronto	Ontario		N	N	N	Y	Y	43.671605	-79.3871
Tumbler Ridge Public Library	Tumbler Ridge	British Columbia		N	N	N	N	Y		
Vancouver Public Library	Vancouver	British Columbia		N	N	N	Y	Y	49.280202	-123.114774
Arizona State University	Tempe	Arizona	85287	Y	Y	Y	N	N	33.42113	-111.928936
Auburn University	Auburn	Alabama	36849	N	Y	Y	N	N	32.603085	-85.482742
Bibliotheque de l'Universite Laval	Laval	Quebec		N	Y	Y	N	N	46.7802315	-71.2755356
Bibliotheque de l'Universite de Montreal	Montreal	Quebec		N	Y	Y	N	N	45.497002	-73.561996
Boston College	Boston	Massachusetts	02467	N	Y	Y	N	N	42.336003	-71.169159
Boston Public Library	Boston	Massachusetts	02205	N	Y	Y	Y	N	42.358635	-71.056699
Boston University	Boston	Massachusetts	02215	Y	Y	Y	N	N	42.358635	-71.056699
Brandeis University	Waltham	Massachusetts	02454	Y	N	Y	N	N	42.3764	-71.239464
Brigham Young University	Provo	Utah	84602	N	Y	Y	N	N	40.25096	-111.651377
Brown University	Providence	Rhode Island	02912	Y	Y	Y	N	N	41.823879	-71.40097
California Institute of Technology	Pasadena	California	91125	Y	N	Y	N	N	34.136883	-118.12458
Canada Institute for Scientific and Technical Information (CISTI)	Ottawa	Ontario		N	Y	Y	N	N	45.419754	-75.706995
Carnegie Mellon University	Pittsburgh	Pennsylvania	19130	Y	N	Y	N	N	39.967325	-75.172919
Case Western Reserve University	Cleveland	Ohio	44106	Y	Y	Y	N	N	41.507311	-81.609515
Center for Research Libraries	Chicago	Illinois	60637	N	Y	Y	N	N	41.784365	-87.593342
Colorado State University	Fort Collins	Colorado	80523	Y	Y	Y	N	N	40.58147049	-105.0762634
Columbia University	New York	New York	10027	Y	Y	Y	N	N	40.806236	-73.963256
Cornell University	Ithaca	New York	14853	Y	Y	Y	N	N	42.446671	-76.495735
CUNY Graduate Schook and University Center	New York	New York	10016	Y	N	Y	N	N	40.759399	-73.990097
Dartmouth College	Hanover	New Hampshire	03755	Y	Y	Y	N	N	43.72344208	-72.19642639
Duke University	Durham	North Carolina	27708	Y	Y	Y	N	N	35.999401	-78.939903
Emory University	Atlanta	Georgia	30322	Y	Y	Y	N	N	33.790578	-84.323024
Florida State University	Tallahassee	Florida	32306	Y	Y	Y	N	N	30.443028	-84.295028
George Washington University	Washington	District of Columbia	20052	Y	Y	Y	N	N	38.89338	-77.048899
Georgetown University	Washington	District of Columbia	20057	Y	Y	Y	N	N	38.90660266	-77.07214712
Georgia Institute of Technology-Main Campus	Atlanta	Georgia	30332	Y	Y	Y	N	N	33.775684	-84.399002
Georgia State University	Atlanta	Georgia	30303	Y	N	Y	N	N	33.7527	-84.3866
Harvard University	Cambridge	Massachusetts	02139	Y	Y	Y	N	N	42.375081	-71.150016
Howard University	Washington	District of Columbia	20059	N	Y	Y	N	N	38.9221	-77.02002
Indiana University-Bloomington	Bloomington	Indiana	47405	Y	Y	Y	N	N	39.172161	-86.52552
Iowa State University	Ames	Iowa	50011	Y	Y	Y	N	N	42.028091	-93.648826
Johns Hopkins University	Baltimore	Maryland	21218	Y	Y	Y	N	N	39.3277	-76.605779
Kent State University	Kent	Ohio	44240	N	Y	Y	N	N	41.14574	-81.352299
Library and Archives Canada	Ottawa	Ontario		N	Y	Y	N	N	45.419756	-75.706992
Library of Congress	Washington	District of Columbia	20540	N	Y	Y	N	N	38.8868103	-77.00470734
Syracuse University	Syracuse	New York	13244	N	Y	Y	N	N	43.040363	-76.134022
Virginia Beach Public Library System	Virginia Beach	Virginia	23452	N	N	N	Y	N	36.842691	-76.11585
Seattle Public Library	Seattle	Washington	98104	N	N	N	Y	N	47.602081	-122.32978
Spokane County Library System	Spokane	Washington	99212	N	N	N	Y	N	47.696691	-117.282646
Spokane Public Library	Spokane	Washington		N	N	N	Y	N	47.659075	-117.42512
Pierce County Library System	Tacoma	Washington	98446	N	N	N	Y	N	47.155002	-122.388332
Tacoma Public Library	Tacoma	Washington		N	N	N	Y	N	47.252624	-122.444599
